Classifier: Naive Bayes
Mode: Quaternário
DataTrain length: 27066
DataTest length: 1073

-----PREDCTION INFO-----
Accuracy: 0.756756756757

Report:
             precision    recall  f1-score   support

        pos       0.76      0.78      0.77       163
        neg       0.64      0.98      0.77       316
        neu       0.89      0.69      0.78       509
        irr       0.93      0.31      0.46        85

avg / total       0.80      0.76      0.75      1073

Confusion Matrix:
[[127  20  16   0]
 [  2 309   5   0]
 [ 25 132 350   2]
 [ 14  22  23  26]]

261 Wrong Predictions:
cenaze nedeniyle kapal y z apple http t co j l kk | Correct: irr Predicted: neu
48 - more twitter buzz for apple store http t co hlybd uc rt ji lee started out as a trip to the apple store turned into a spontaneou -> neu
49 - wow i am loving this new apple update for my touch coolness well done -> pos
50 - rt thejjmg my friend bm found this article on the ios battery drain problem http t co iqa ipvt apple ah mines being sinking -> neu
51 - iphone s mp camera its a sony http t co x j hnzu sony apple apple iphone s cameras -> neu
52 - it would be great if apple would send my new phone frustrated -> neg
53 - steve s last design is apparently the apple apple iphone http t co difqtmwm -> neu
54 - apple the iphone s is great genius -> neu
55 - going to the apple store today to get this laptop situation figured out -> neg
56 - fabi m not that i know of i think it is only on ios should get apple to make a desktop app -> neu
57 - iphone s in space http t co jinnhvwz this is amazing creative apple your products inspire people to do unbelievable things -> pos
58 - so what is behind that giant silver door at the apple store maclife -> neg
59 - partner with apple i d pay for anibulb washingtonpost would you pay for this lightbulb http t co zgfsehao -> neu
60 - keepnupwittboyd appstore itunesmusic they fixed a bug thursday after i had done my update thus my issue spent fri apple ios -> neg
61 - ios for iphone and ipad is here apple s best release yet http t co ilygz ox ios ios apple ipad tablet -> neu
62 - siri is having a hard time remembering who my sister is contact card needs space for family info iphone s apple -> neg
63 - rt triplingo we re one of a few featured education apps on the apple website today sweet http t co ywvbe z -> pos
64 - ibertaddigital tv ipad a briliant stevejobs produck http t co ohfly apple present http t co dbbwsdpx -> neu
65 - notleifgarrett apple you ll be able to afford that mansion one day -> neg
66 - so yeah apple ios readinglists have changed my life nowicanspendevenmoretimeonmyphone -> pos
67 - mcp apple appstore why are you asking us apple don t read messages on twitter and apple aren t apple either -> neg
68 - can t wait for spotify and apple to integrate with siri -> neu
69 - at the genius bar waiting apple store -> neu
70 - apple iphone s arrival on tuesday iphone s -> neg
71 - rt circustk i m wit chu shaydiddy officially boycotting ups calling apple to curse them out next for using them wasting my t -> neg
72 - hmm it seems i should have checked the identity of apple first -> pos
73 - stay hungry stay foolish steve jobs founder apple winningwithel -> neu
74 - gee i can t imagine that the maps app graphic from this samsung website will help their court cases vs apple http t co pmanmoah -> neu
75 - proof that my dad loves my sis more rt annacorinne woke up to my dad at my door w my new iphone he surprised me went to apple -> neg
76 - waiting patiently for me at the apple store badog http t co nafaexuh -> neu
77 - http t co emaeid stevejobs memorial apple boylston -> neu
78 - ugh wtf is up with all the bottlenecks paypal apple -> neg
79 - looks like apple did not appropriately project the resources needed for siri not very reliable -> neg
80 - every time i try the voice control on my ipod touch to send an imessage it starts playing who knew by pink still not flawless apple -> neg
81 - my iphone s battery lasted longer than a day that hasn t happened since my edge iphone nice job apple -> neg
82 - updated my ios and started using cloud services pretty bad ass apple my iphone gs still the champ -> pos
83 - apple siri http t co k b hx -> neu
84 - finally got my iphone s thanks apple stupid att learned my lesson -> neg
85 - rim you made it too easy for me to switch to apple iphone see ya -> pos
86 - apple why no macbook mirroring onto appletv via airplay -> neu
87 - lisa marie shhhh the evil sith lords apple may hear you ha -> neg
88 - pmphillips apple if my non apple equipment broke this often i guess i d need an asus genius bar but it doesn t so i don t -> neg
89 - sorry blackberry i m moving to apple -> pos
90 - hey apple next update can we get an emoji that s pointing the middle finger please thanx -> neg
91 - deal schn ppchen update ipad ipad generation general berholt ab apple http t co xdtdzurd -> neu
92 - ios update submitted to apple thanks for all the support -> pos
93 - new arrivals and percent off clearance of matching g http t co qqcwyl b lds scriptures apple e book -> neg
94 - win an apple ipod touch from mommy gaga get the pampers hello world baby memories app http t co i woujuh pampershelloapps -> neu
95 - attending mobilemem listening to james kelley from apple -> pos
96 - nd apple genius apptment running late nd day in row for nd dodgy ipod you make mega hire some staff -> neg
97 - tomcolontonio apple epicfail -> neg
98 - gostaria de deixar aqui registrado meu agradecimento a apple por preservar meu sono as notifica es do ios n o apitam na madrugada -> irr
99 - ihs iphone s shows key design and component changes http t co gzmdzvle apple apple iphome s ios -> neu
100 - thanks apple my girlfriend likes siri more than me now -> pos
101 - dear apple you must let me turn off icloud to save bandwidth and not delete every document on my ipad that s bullshit -> neg
102 - i wish my ipod had a feature when it s on the dock to scroll the artist album and song title in huge font across it apple -> pos
103 - hello you are find mesh jacket motorcycle our site have more mesh http t co tyg ualc ace hardware apple pee -> neu
104 - now all apple has to do is get swype on the iphone and it will be crack iphone that is -> pos
105 - waiting for items to copy in itunes after everything did copy goes on and on and on come on apple what the hell -> neg
106 - apple siri is down -> neu
107 - lol and what do those look like rt talkyo ish dear apple can we get some afro american emoticons management -> neu
108 - apple loving the new ios upgrade for the iphone -> pos
109 - dear apple one day you re going to release a version of itunes that doesn t freeze more often than it works one day -> neg
110 - if apple doesn t fix ios this week i m buying a droid emptythreats -> neg
111 - apple wtf why can we not add the newsstand to a folder we are already in your walled garden so please don t remind us of it -> neg
112 - rt thbenkoe hey apple dass man selektiv keine einzelnen fotos peinliche berfl ssige etc aus dem fotostream l schen kann ist do -> neg
113 - siri is kinda slow tho impressed it got my accent and commands first time out apple -> neg
114 - apple u guys are gay -> neg
115 - the takeaway from the apple earnings call even apple needs a new iphone release every months to stay competitive cc hblodget -> neu
116 - apple so i went to the th ave store and was told i could wait about hours to get a s needless to say i m back at the hotel relaxing -> neg
117 - lemme just say ios is mad cool but it needs a lot of bug fixes apple -> neg
118 - life was much easier when apple and blackberry were just fruits -> neg
119 - total time on the phone with apple hour minutes let s see how this goes -> neg
120 - hey apple could you hook the voice memos app on the iphone up with fine scrubbing journalists need love too -> neg
121 - apple ios on iphone causes camera apperature dilation problems freeze -> neg
122 - hey apple now i have ios my iphone doesn t include songs that are on compilation albums under the artist s name whaddupwitdat -> neg
123 - turns out my computer isn t as fixed as it is meant to be fuck you apple i m going back to your genius bar to complain annoyed -> neg
124 - apple why is it every time there is ios software update my ipad goes dead and i need to totally restore fail -> neg
125 - why is the new apple iphone os duplicating all my ical events there s of everything how do i fix it tried turning icloud off -> neg
126 - damn you apple for breaking wififofum it continued to work in ios was one of my most used apps damn apple s overbearing policies -> neg
127 - lennydubz you do know that apple is not the company and why u blasting me on twitter -> pos
128 - fail i guess apple didnt notify these clowns that the iphone isnst out yet http t co ycdnt b -> neu
129 - rt stalkertard hey apple how about if iphone s iphone steve and you donate a small portion of the proceeds towards cancer rese -> neu
130 - fico manso os pre os desses iphones absurdos r assim n o d f a apple s se eu fizesse programa na beira mar -> neu
131 - cc apple http t co tnodvs -> neu
132 - apple cu -> neg
133 - notleifgarrett apple wished their on hold music played pictures of you -> pos
134 - spoke to an apple rep on phone could hear her tv blaring in the bg she said i can t actually help u just direct u back to the web -> neg
135 - win an apple ipod touch from mommy gaga get the pampers hello world baby memories app http t co aap stht pampershelloapps -> neu
136 - hazi apple com -> pos
137 - apple so why is siri only available on the iphone s http t co qzungylw -> neu
138 - apple scrapple -> neu
139 - cnbcfastmomey what price should i sell apple for -> neg
140 - apple why is my iphone battery so crappy fail -> neg
141 - new ios notification center is a big improvement but apple missed an easy trick by not making it fully available on lock screen -> neg
142 - courtneytaylor apple did you get a s -> neu
143 - htc vs apple who winning -> neu
144 - really apple and att removing the g edge switch on ios you do realize that you work on the g network in places often right -> neg
145 - just registered as an apple developer here s hoping i can actually do it any help greatly appreciated -> pos
146 - what s wrong with siri today apple -> neg
147 - apple needs to give me a contract deal i get them new customers all the time teamiphone -> neu
148 - anyone else seeing missing signal bars on their iphone gs with an upgrade to ios cc applecanada apple forstall -> neg
149 - need apple help installing new ios on iphone and am stuck on the find my iphone screen i keep clicking next but it doesn t work -> neg
150 - mommy gaga win an apple ipod touch and get the pampers hello world baby memories app http t co qeatnmpi pampershelloapps -> neu
151 - siri keeps trying to send me to escort services is that legal apple -> neu
152 - noticed how apple has added the like tweet icons on their page http t co pzonzec like facebook tweet -> neu
153 - you need to ask siri her favorite color and the average speed of an unladen swallow seems someone apple is a monty python fan -> neg
154 - rememberin wen apple and blackberry were just fruit nostalgia -> neg
155 - lol apple support playing mary j blige during the wait time -> pos
156 - why book apple genius bar if after hours you still can t be served disappointing apple store sydney thanksfornothing -> neg
157 - apple iphone s ipad s beautiful technology but alltogether mainly a marketing platform it s obscure is nt it apple lost it s touch -> neu
158 - the new apple find my friends app is great except the part where you have to log in everytime get back to me when this is changed -> neg
159 - love apple downloads hours and i pad now wonky ripstevejobs thenonsensepersists neednewipadguide fatfuckingchance -> neg
160 - apple itunes is the worst program ever for such a great phone you make some awful software -> neg
161 - suddenly lost all address book on gs iphone and someone was using my apple id it all fucked up -> neg
162 - god bless youtube apple for appletv our bad ass system loving princessofchina gb to coldplay rihanna too -> pos
163 - wow icloud s mail is down st the ios upgrade issues and now this i really hope this isn t apple without steve jobs -> neg
164 - dear apple if i make love to icloud will all the things have my babies -> neg
165 - just made the switch from blackberry to apple and never looking back bbwho -> pos
166 - but att is working with apple to make their iphone say g rt jfsikora tcpj mickey i m so glad apple is not slinging that crap -> neu
167 - as tribute to steve apple i d consider renaming siri to steve he ll get your jobs done forever remembered for his legacy -> neu
168 - i just realized that the reason i got into twitter was ios thanks apple -> neg
169 - yellowgate some iphone s users complain of yellow tint to screen http t co uaqrxtnk apple iphone s -> neg
170 - blogger loves apple iphone my blogpost finally done through iphone apps -> neg
171 - leg nd apple the new iphone -> neg
172 - opinion samsung need to be careful in apple patents issues it looks a lot like you learned a lot by making their chips -> neg
173 - pissed with whoever designs keyboards with apple for not having a home and end key working on the cli i use those keys often -> neg
174 - dear apple as a hoh deaf user can you please add options for stronger and longer vibrate for iphone s thank you hoh deaf ally -> neu
175 - molifer apple when we find people standing in the middle of blood soaked rooms saying siri told me to noreallyihearvoices -> neg
176 - do not check other site for ed hardy black long sl http t co hengqgqp unlocked apple touch phones -> neu
177 - what s up with apple stock going up after stevejobs death apple applestock -> neu
178 - apple underplayed the power of the ipad via mitchjoel yup socapac -> neu
179 - minutes after being at my iphone post ios upgrade has lost of its charge and the apple store folks are out of ideas -> neg
180 - sabias que rt mkdirecto los usuarios del ipad desayunan y cenan con la tableta de apple http t co eyxcqqmk -> irr
181 - verzoek aan apple voor iphone koppel agenda aan bellen zo kun je in afspraak opgeslagen telnummer meteen aantikken en bellen thnx -> irr
182 - apple would much rather get outta this having a see pic and have fun with this have your friends choose music http t co iihbr j -> neg
183 - reddclay now that were done prasing apple s ios everyone go subscribe to notsosuperpro shamlessselfpromotion -> neu
184 - i m loving this new ios update apple -> pos
185 - itunes is apple s worst product worse than the newton or the hockey puck mouse it s utterly painful to use -> neg
186 - dear apple why did my apple id change to my colleagues when i charged on her mac now can t download or update apps iphone -> neu
187 - laundering ari s iphone not my finest moment but after drying in bag of organic rice for days it booted up apple -> pos
188 - stevejobs twitter overwhelmed by reaction to apple founder s death telegraph http t co tqf pjf -> neu
189 - loving ios awesome apple -> pos
190 - the four american companies that have come to define st century on the verge of war amazon apple facebook and ghttp t co pxulr dw -> neu
191 - can someone explain to me how the hell imessage differs from a text message apple fb -> neg
192 - waze it macneo bellissimo video sono sempre pi convinto di prendere un apple iphone e gettare via il nokia n che mi ritrovo -> irr
193 - apple i asked siri if she swallowed she relied lets see wtf do i do now wank over my phone -> neu
194 - fundingroadmap apple also knowing that this is no ending http t co q cbcue -> neu
195 - rt themacmob sprint verizon at t apple stores http t co zozr uuz -> neu
196 - apple siri is amazing -> pos
197 - rt edatpost apple fan eric holder spotted at the genius store http t co oshpyv g -> neu
198 - so glad that i paid for this apple care protection plan been on hold for over minutes now great customer service not -> neg
199 - ihs iphone s shows key design and component changes http t co uxfa ukg apple apple iphome s ios -> neu
200 - apple should make siri avalible for all devices not exclusive to the iphone s -> neu
201 - today s headline apple reports lower q earnings headline in months apple reports record q earnings -> neu
202 - great video apple predicting tablets a form of siri at the end of this article rt jedsinger cont http t co rdbeuctt -> neu
203 - it s been hrs since i reported ups theft of my iphone and apple has done nothing no return call as promised nothing -> neg
204 - xwordy icloud was new i didn t need weather or stocks but they were there pre ios so i m not hopeful that this will help apple -> neu
205 - said to have laid out the next years apple jobs last iphone is not the iphone s iphone g is magical http t co dxxklubp -> pos
206 - pkedrosky apple i am just waiting for my conf email from icloud -> neu
207 - what was apple thinking making siri totally dependent on a network connection siri att utter frustration -> neg
208 - interesante por decirlo menos sabes que la c mara del iphone s le pertenece a sony mmm ojal ande bien y no sea mala jugada de apple -> irr
209 - wow apple sold million iphone s in a single weekend http t co wdlhzsza -> neu
210 - love ios easter eggs pull down from middle top to bottom and see what pulls down awesome little feature apple lovemyiphone -> pos
211 - while the improvements in apple mac os lion are great the full screen implementation on monitors is broken -> neu
212 - apple ripsteve rt davepeck steve jobs and the seven rules of success http t co nlrldwy -> neu
213 - asimrang apple umber well so far ive seen it for apps -> neg
214 - comparing office live with google apps and apple icloud i do not see icloud leading the crowd do you agree -> neg
215 - video siri also gets angry http t co xx chzbn chrisvoss apple apple siri iphone s ai -> neu
216 - asgariaj iphone need to tell apple that -> neu
217 - lmfao look at the argument i had with siri ijustine apple http t co d vjl si -> pos
218 - as a huge podcast fan i really feel like apple dropped the ball on this one http t co wvzprbci via carrypad -> neg
219 - is apple s voice tech really as impressive as the net thinks it is http t co rbf cnx siri -> neu
220 - what i that sucks hello apple rt phonedog aaron interesting note droid razr s battery isn t removable -> neg
221 - and apple i still have an old mbp from which i use which can t run lion i still like to sync it -> neg
222 - i have to change my homepage from apple steve jobs looks like an owl -> neu
223 - apple downloads of ios are proving popular with users http t co nshlfiux -> pos
224 - where is my iphone apple -> neu
225 - apple siri can t connect to the network it s less useful that voicecontrol now -> neg
226 - st impressions of ios disappointed w upgrade restore lot of apps folders missing apple do how much time went in orging it fail -> neg
227 - waiting at end of person line after checking in on time for my genius bar appt apple store i do not find this system genius fail -> neg
228 - so thankful for the incredible people apple for going above and beyond and offering to and replacing my water damaged macbook pro wow -> pos
229 - in honor of steve jobs apple ripsteve http t co nyjhknou -> neu
230 - apple appstore ihelpline when r u going to provide the ability to password protect ipad email -> neu
231 - i just need to exchange a cord at the apple store why do i have to wait for a genius apple -> neg
232 - my apple macbook keyboard will not type -> neg
233 - thank you apple for your innovations exhibit a guy playing with facetime instead of watching game at sports bar http t co ou k ge -> pos
234 - rt scottdugas warning if iphone apps spontaneously loose data it might not be the app s fault http t co sesvwwm ios downgrade -> neg
235 - see apple that what s happen when you release iphone s with same crappy design as the old phone -> neg
236 - why didn t apple provide gb per device for cloud backup why just gb per account silly -> neu
237 - should be studying doing work but no i m hold with apple hurry the fuck up nopatience -> neg
238 - bassponton iphoneclub kpn iphone apple ja en dan heb je voor dat geld ook nog een datalimiet -> irr
239 - beeethree i am aye i wasn t apple -> neu
240 - why the fuck dose my phone decide its just ganna freeze every time i try to update it so fucking sick of apple -> neg
241 - why doesn t apple icloud sync stickies they ve always been around just nothing every progressed w them why apple why gruber -> neg
242 - hey apple androids releasing brand new state of the art phones whens your new phone come out what s that cont http t co sko l d -> neu
243 - this is what will kill apple http t co jw z c rip apple -> neg
244 - i m over people bitching about the iphone s i think it s the smartest phone i ve ever had and i m very happy way to go apple -> pos
245 - never purchasing another item from apple -> neg
246 - apple to shut stores c mon only wednesday for stevejobs memorial -> neu
247 - good or bad results for apple depends on who you ask apparently http t co ydh ffxe -> neg
248 - just when tomcruise thought he had a unique name for his daughter apple pulls the rug out from under him with the new siri app -> pos
249 - is it too much to ask which app is incompatible apple http t co ykqip nk -> neg
250 - apple you re killing me excited about ios no longer tragic battery drain genius bar wants to replace the battery really -> neg
251 - paulbentleymelb apple i think they call that profit making genius -> neg
252 - in front of the apple store so many blue shirts i feel like i m at a smurf reunion iphone s -> neg
253 - rt petapixel iphone s vs canon d mark ii a side by side comparison of p hd video http t co qmymiv z apple wow -> neu
254 - from which companies do you experience the best customer service aside from zappos and apple -> pos
255 - i made a reservation and yet i still have to wait in line humpt oh apple apple store w others http t co jzmvbdnm -> neg
256 - gulp apple sells million iphone s in days yahoo finance http t co zv dxria via yahoofinance -> neu
257 - apple fan eric holder spotted at the genius store http t co ftlttlpn -> neu
258 - mommy gaga win an apple ipod touch mommy gaga get the pampers hello world baby memories app http t co qeatnmpi pampershelloapps -> neu
259 - pondering the ios update from the sounds of mikeferri s difficulties i may just hold off apple fix it -> neg
260 - apple how much is the student discount on the macbook air in canada your reps have said both and which is it thanks laptop -> neg
261 - bummer my yahoo ipad fantasy football app keeps crashing not sure if it s the app or the new apple ios only two apps running -> neg
262 - apple you got me i m now invested macbook pro next year time to get on selling more of my android gear -> pos
263 - wisconsin mommy apple that s terrible i hope you get an apology -> neg
264 - rt jesperordrup hi apple household has iphones ipads minis apple tv airports timecapsule whats a usable iphoto shari -> neu
265 - philipgrey apple it s kinda sad that s the most relevant tweet i ve seen today or kinda awesome i m not sure devproblems -> neg
266 - apple you have invented a product that actually gets my brother to call my parents when he gets where he s going amazing siri ipod s -> neg
267 - causando na loja da apple -> neg
268 - if u need me just text me o wait u i wont get it cuz apple fucks me every time fuckingpissed -> neg
269 - another mention for apple store http t co fiioapkt rt floridamike once again getting great customer service from the apple store -> pos
270 - rt adamnash the takeaway from the apple earnings call even apple needs a new iphone release every months to stay competitive cc -> neu
271 - brady i am surprised apple did not think of anticipate that -> neu
272 - now who can guarantee that apple hd nothing do with blackberry rim server failure days after over million iphone s sold in days -> neu
273 - apple why do you have a volume control in the fast app switcher buttons volume buttons you have them give me a brightness slider wtf -> neu
274 - cbm lies apple the battery on this new iphone s is definitely not any better check settings times more app usage in ios -> neg
275 - rt phxguy oh just fuck you apple already iphone on schedule for summer launch http t co ofh ptag via bgr -> neg
276 - apple why don t you have a wireless remote for keynote presentations w a macbook air nobody wants to see the pith man navigate w a iphone -> neu
277 - principal global players will be active in every market amazon apple kobo mikeshatzkin http t co ndxcmo dbw metacon -> neu
278 - stevejobs being honored tonite apple a truly great loss to the world he will so be missed -> pos
279 - apple not likely to win appstore suit case against amazon http t co gncdgqsc -> neu
280 - fastcompany the great tech war of apple facebook google and amazon duking it out http t co hxsalzpv via aderricks -> neu
281 - ud alguna vez ha llamado al servicio de apple support se nota con razon le gusta apple -> irr
282 - upgrading my ipad to ios when apple said it could take a couple of hours to install and restore it they weren t kidding -> neg
283 - hey apple if you send me a free iphone any version will do i will publicly and ceremoniously burn my blackberry -> pos
284 - rt aplusk sending love light to everyone apple the entire jobs family today we lost a giant who will be missed even by those who -> neg
285 - today very cheap for hemp for fuel and free shipping for hemp for fuel too http t co gyjlbmw farberware apple peeler -> pos
286 - rt apple yea our stores are open days a week rt wasalu flora me too rt dj bmoney ipad iphone s my christmas gifts to my self -> neg
287 - just downloaded ios it s better than i expected thankyou apple -> pos
288 - i know a few others having same issue rt joelplane now on my second full charge of the day pissed apple -> neg
289 - win an apple ipod touch from mommy gaga get the pampers hello world baby memories app http t co gihypzwo pampershelloapps -> neu
290 - iphone s siri doesn t work for shit apple -> neg
291 - rt ajrogers purdie rogers tribute to stevejobs and apple we spray painted the macintosh plus w http t co aldictd -> neu
292 - i am very upset about and inconvenienced by this iphone update failed backup iphone apple -> neg
293 - phxguy apple bgr that s why all the ppl who stand in line for hrs to get the newest model are suckers -> neg
294 - wtf apple the new ios doesn t allow you not to get push notifications from newstand and siri just keeps yapping fuck -> neg
295 - bravo apple http t co bgotzj k -> pos
296 - apple if you want to know what customers think dont send updates with the noreply return address who invented that anyway useless -> neg
297 - ipad mi aparato favorito de la vida frase celebre de azay carrasco apple ipad -> irr
298 - siri on apple iphone s can allow unauthorized access to texts and emails even when the phone is locked http t co q dlt -> neu
299 - warning if iphone apps spontaneously loose data it might not be the app s fault http t co sesvwwm ios downgrade apple marcoarment -> neg
300 - twitter ceo points to apple as corporate mentor as ios signups triple http t co gcy iphn -> pos
301 - on hold for another half hour phone is ringing but no one is picking up apple you stink -> neg
302 - ok this apple software update for the iphone is taking waaaaay too long annoyed -> neg
303 - one would think the voice recognition on the apple tech support line would work a little better -> neg
304 - virgojud well maybe if you would set ya apple products to send push notifications it would go through -> neg
305 - ok apple your accessories policy is out of hand i need a powered line in to use the mic are you kidding me -> neu
306 - apple wish i could pick month day and year when setting a new calendar item on my iphone why hasn t the new ios fixed this yet -> neg
307 - electricsoup it has to connect to apple to process commands which it is failing to do right now -> neg
308 - apple in austin domain location umbrellas are nice but being staffed properly would be better -> neg
309 - i hope apple will release an app for siri for us non apple s users apple iphone siri -> neu
310 - speechtrans http t co tw szx on apple app store listed as the best bi directional speech to speech translator posts on twitter -> neu
311 - apple has lunched its new os iso -> neu
312 - would it kill apple to put a braille type bump on their earbuds so we know which bud is r and l in the dark -> neg
313 - apple will be rolling out iphone s to more than more countries by the end of the month -> neu
314 - carlton i really hate dealing with the brain dead people at the apple store for such good products customer service sucks in nz -> neg
315 - great post on the upcoming great tech wars of amazon apple google facebook http t co oseqht w via cbillich -> neu
316 - stay young stay foolish but take ownership when u f ck up don t complain and never give up resilience apple -> neg
317 - rt bsdalton apple underplayed the power of the ipad via mitchjoel yup socapac -> neu
318 - alexlindsay my wife upgraded her iphone i think siri alone is worth the upgrade looking forward to apple continuing to enhance siri -> pos
319 - i m a current blackberry user little bit disappointed with it should i move to android or apple iphone -> pos
320 - rt mymelange wall to wall people security and a huge line outside just to get in the apple store http t co i khkgjm -> neu
321 - if you ve been struggling to get hold of me i m back online with a new iphone thanks apple -> neg
322 - rt hofmania i just paid someone to wait in line at the apple store this morning for me on zaarly putapriceonconvenience iphone htt -> neu
323 - thank you steve a song created for steve jobs http t co vtx zjf via techhamlet azrmusic apple stevejobs apple -> neu
324 - now with siri were talking to our iphones how will we ever know if people are really truly crazy p iphone s siri apple apple -> neg
325 - started out as a trip to the apple store turned into a spontaneous fun evening w molleymoody we danced while trying on outfits girls -> pos
326 - samsung seeks iphone s ban in japan and australiapatent war intensifies with injunction sought against apple http t co qmwjtvnk -> neu
327 - waited in line for nothing fucking genius apple called an app for john not jean stop fucking up my name im not a french boy pcam -> neg
328 - the nice guy at the apple store replaced my phone gratis when i showed him the hairline crack on the screen thanks apple -> pos
329 - boy could apple make it any harder to put my purchased music from the cloud on to my new macbook pro you must authorize this computer -> neg
330 - easiest way to use evernote with iphone s siri just tell siri to email evernote and say your note evernote apple evernote siri -> neu
331 - i am crazy about ios the photo cropping is the best apple -> pos
332 - rt apple sells million iphone s in days http t co velmtzns via reuters -> neu
333 - apple would do better to inform customers properly about migrating to icloud many complaints lead to image damage http t co ql zmppo -> neg
334 - damn it apple whatchu done to my phone -> neg
335 - the one iphone feature still missing since apple first showed it contacts pictures on the contacts list simple yet major updates miss -> neg
336 - iphone s in space http t co gloaxhle via youtube nasa apple -> neu
337 - been on hold with apple customer service for minutes wow lt s like they re timewarnercable -> neg
338 - ipad ipad generation general berholt ab apple http t co tov xkq -> neu
339 - in less than an hour my post ios iphone has gone from to battery charge and the apple store folks have no solution for me -> neg
340 - over the weekend apple sold more than iphones thats about iphones sold every second -> neg
341 - apple ios nonstop dropped calls mute button randomly activating person cant hear me pull phone from ear to be on a mobile me screen -> neg
342 - apple please fix siri she can t connect to your network -> neg
343 - apple just got the new ios upgrade with imessage good luck surviving now blackberry -> pos
344 - too many companies don t have apple management sec vid http bit ly pwlpgq entrepreneur startup scalecomputing pioniq -> neu
345 - gone for a run beautiful morning man do i love ios apple iphone -> pos
346 - apple battery life suck on ios -> neg
347 - bestbuy or apple to purchase my imac ipad and printer studentdiscounts -> neu
348 - bouquet for jobs apple store nagoya http t co pmecxpug -> neu
349 - just had a look on ebay for iphone s and some have bids at well over some gb white they are delivered apple -> pos
350 - azee v apple umber better file info easier to get to duplication of files when importing categorizing files -> neu
351 - lol bet that android couldnt do that rt ceejay k i promise this iphone been at battery for the last hours i see you apple -> neg
352 - thank you apple ios for email pop up on the lock screen and opening it when unlocking -> pos
353 - apple wow motorola just crushed your dreams -> neg
354 - fregon el nuevo facebook para ipod iphone haha alomejor ya tiene rato pero yo lo acabo de actualizar apple -> irr
355 - le m poireau mais moi je voudrais pas que apple donne mon fichier lalibrebe marre d tre spamm e par les journaux d sesp r s -> irr
356 - rt modalnho new mov apple store starring ichiro repeat pattern moda http t co u a ivk -> neu
357 - de la nada mi iphone se fue a negro y empez a vibrar hubo que resetearlo que onda con ios wtfh apple -> irr
358 - great tech war of http t co jgrobp fastcompany profiles amazon apple google facebook on cnbc ht philsimon -> neu
359 - none of my apps work after the new ios from apple what do i do -> neg
360 - apple why don t you guys test your upgrades before you put them out hrs u guys wasted of my time yesterday thanks -> neg
361 - he asked siri where s the hoes at she told him where the nearest escorts were i love apple -> neu
362 - apple i m still waiting for you to deliver my phone to sprint -> neg
363 - ios apple -> neg
364 - chascouponmom apple i get they are busy w the new phone but i just wanted to buy a stylus they made me wait forever outside never -> neg
365 - yo apple this update is a disaster -> neg
366 - rt radlerc yellowgate some iphone s users complain of yellow tint to screen http t co uaqrxtnk apple iphone s -> neg
367 - che palle sto cacchio di wp di merda con un whatsapp che funziona di cacca per colpa del sistema di notifica apple send me an iphone -> irr
368 - apple main office is nowplaying a milli lil wayne -> neu
369 - hey twitter and apple this is pretty dumb http t co kubkpo t -> neu
370 - i love this so much thank you apple http t co ui loezx -> pos
371 - rt mikeferri if apple doesn t fix ios this week i m buying a droid emptythreats -> neg
372 - rt doug newton apple please fix siri she can t connect to your network -> neg
373 - it took apple about years just to figure out how to properly syncronize an iphone wow ios -> neg
374 - thanks to apple covent garden geniusbar for replacing my macbook keyboard cracked wristpad during my lunch break today out of warranty -> pos
375 - create new folders from within your photo album in ios finally thanks apple that s been a thorn in my side for a while newfeature -> pos
376 - dear apple yesterday you sucked today you re awesome thanks lp apple store crash and burn mich ave store -> neg
377 - it would have taken me mins to write this with my blackberry thank u apple s for converting me and showing me the grass is greener -> pos
378 - apple domain fail open hrs late for walk in ppl store was empty and i only need a skin my screen you represent customer service fail -> neg
379 - why apple so valuable good analysis of trended profits ios vs microsoft comparing the bottom lines http t co k qst r via asymco -> neu
380 - apple s success is also google s gain as mobile advertising balloons http t co ynqy -> neu
381 - it s a good thing apple has not came out with an icar because i would be in line for one and im sure it would be expensive -> neg
382 - bisquiat apple the upgrade just slows down my phone so much it s stuck half the time uch thankfully no other damage sucks for you -> neg
383 - poll http t co gcrpukwf q r u pissed apple banned this video apple iphone s siri f ball -> neu
384 - just apply for a job at apple hope they call me lol -> pos
385 - kaekaed apple here is an easy way to put newsstand in a folder http t co yvxmwibi -> neu
386 - oh sales guy bestbuy i m not selling or using any apple products during my mourning period over job s passing hmmm -> neg
387 - kan apple de tekstaanvulling op iphone en ipad niet omdraaien eigenteksteerst weetapplehetaltijdbeter -> pos
388 - apple airdrop fail immediate declined your request every time -> neg
389 - min line apple store short pump -> neg
390 - great up close personal event apple tonight in regent st store -> pos
391 - misthang u nope they wouldn t even let me my mom switch apple she has an upgrade mine isn t do til march -> neg
392 - nansen man that sux apple io upgrade a total fail for you -> neg
393 - win an apple ipod touch from mommy gaga get the pampers hello world baby memories app http t co r wym jx pampershelloapps -> neu
394 - apple needs to hurry up and release itunesmatch -> neg
395 - at apple hq -> neu
396 - win an apple ipod touch from mommy gaga get the pampers hello world baby memories app http t co zrbak kl pampershelloapps -> neu
397 - azee v apple umber appstore is well done so is itunes on the mobile devices i was talking about desktop app -> neu
398 - jane gazmaz hopefully it s a small bug apple must be fixing it right apple itjustworks -> neg
399 - i used to be with blackberry over yrs after all the disruptions and lost gigs thx to their service im moving to apple iphone -> pos
